Country,Bronze,Silver,Gold,Total Modals
Afghanistan,1,0,0,1
Albania,0,0,0,0
Algeria,0,0,1,1
American Samoa,,,,0
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,2,1,1,4
Armenia,2,1,0,3
Aruba,,,,0
Australia,12,16,7,35
Austria,0,0,0,0
Azerbaijan,6,2,2,10
Bahamas,0,0,1,1
Bahrain,1,0,0,1
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,5,5,2,12
Belgium,2,1,0,3
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,1,0,1
Brazil,9,5,3,17
British Virgin Islands,,,,0
Brunei,,,,0
Bulgaria,1,1,0,2
Burkina Faso,0,0,0,0
Burma,,,,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,12,5,1,18
Cape Verde,0,0,0,0
Cayman Islands,,,,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,0,0,0,0
China,23,27,38,88
Colombia,4,3,1,8
Comoros,0,0,0,0
Congo-Brazzaville,,,,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,,,,0
Croatia,2,1,3,6
Cuba,6,3,5,14
Cyprus,0,1,0,1
Czech Republic,3,3,4,10
Democratic Republic of Congo,,,,0
Denmark,3,4,2,9
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,1,1,2
East Timor,,,,0
Ecuador,0,0,0,0
Egypt,0,2,0,2
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,1,1,0,2
Ethiopia,3,1,3,7
Fiji,0,0,0,0
Finland,2,1,0,3
France,12,11,11,34
French Polynesia,,,,0
Gabon,0,1,0,1
Gambia,0,0,0,0
Georgia,3,3,1,7
Germany,14,19,11,44
Ghana,0,0,0,0
Greece,2,0,0,2
Grenada,0,0,1,1
Guam,,,,0
Guatemala,0,1,0,1
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Honduras,0,0,0,0
Hong Kong,,,,0
Hungary,5,4,8,17
Iceland,0,0,0,0
India,4,2,0,6
Indonesia,1,1,0,2
Iran,,,,0
Iraq,0,0,0,0
Ireland,3,1,1,5
Israel,0,0,0,0
Italy,11,9,8,28
Ivory Coast,,,,0
Jamaica,4,4,4,12
Japan,17,14,7,38
Jordan,0,0,0,0
Kazakhstan,5,1,7,13
Kenya,5,4,2,11
Kiribati,0,0,0,0
Kuwait,1,0,0,1
Kyrgyzstan,0,0,0,0
Laos,,,,0
Latvia,1,0,1,2
Lebanon,0,0,0,0
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,,,,0
Liechtenstein,,,,0
Lithuania,2,1,2,5
Luxembourg,0,0,0,0
Macau,,,,0
Macedonia,0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,1,1,0,2
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mexico,3,3,1,7
Micronesia,,,,0
Moldova,2,0,0,2
Monaco,0,0,0,0
Mongolia,3,2,0,5
Montenegro,0,1,0,1
Morocco,1,0,0,1
Mozambique,0,0,0,0
Myanmar,,,,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Netherlands,8,6,6,20
Netherlands Antilles,,,,0
New Caledonia,,,,0
New Zealand,5,2,6,13
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Niue,,,,0
North Korea,,,,0
Norway,1,1,2,4
Oman,0,0,0,0
Pakistan,0,0,0,0
Palau,0,0,0,0
Palestine,,,,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0,0,0,0
Poland,6,2,2,10
Portugal,0,1,0,1
Puerto Rico,1,1,0,2
Qatar,2,0,0,2
Romania,2,5,2,9
Russia,32,26,24,82
Rwanda,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,1,0,0,1
Senegal,0,0,0,0
Serbia,2,1,1,4
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,2,0,0,2
Slovakia,3,1,0,4
Slovenia,2,1,1,4
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,1,2,3,6
South Korea,,,,0
Spain,4,10,3,17
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Surinam,,,,0
Swaziland,0,0,0,0
Sweden,3,4,1,8
Switzerland,0,2,2,4
Syria,0,0,0,0
Taiwan,1,1,0,2
Tajikistan,1,0,0,1
Tanzania,0,0,0,0
Thailand,1,2,0,3
Timor-Leste,,,,0
Togo,0,0,0,0
Tonga,0,0,0,0
Trinidad and Tobago,3,0,1,4
Tunisia,1,1,1,3
Turkey,1,2,2,5
Turkmenistan,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,1,1
UK,,,,0
Ukraine,9,5,6,20
United Arab Emirates,0,0,0,0
Uruguay,0,0,0,0
US,,,,0
Uzbekistan,3,0,1,4
Vanuatu,0,0,0,0
Venezuela,0,0,1,1
Vietnam,0,0,0,0
Virgin Islands,,,,0
West Bank and Gaza,,,,0
Yemen,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
